Otic enhancers,,,,,,Nearest gene associated to,,,,,RNA seq expression data,,,,,,,,,,,Significant TFBS identified by RSAT
Enhancer ID,Chr,Start,End,width,Strand details,Gene name,Ensembl gene id,Gene locus,location of enhancer to gene associated,Distrance to gene associated,NP_FPKM,aPPR_FPKM,pPPR_FPKM,NNE_FPKM,APD_FPKM,IPD_FPKM,ss56_OEDP_FPKM,ss89_otic_FPKM,ss12_otic_FPKM,ss3_whole embryo_FPKM,foldchange ss89/ss3,TFBS found
13081a,2,100745000,100747331,2332,-,EMILIN2,ENSGALG00000014815,2:100699720-100729685,upstream,-15315,4.26686,48.6372,22.529,88.7135,41.8788,31.7018,32.5133,18.1096,12.204,9.80784,1.846441214,"Sox2, FOXP1, Prrx1, Lmx1a, Lmx1b, Lhx5, Lmx1b, Lmx1b, Lmx1a, Lhx5, TEAD1, Sox6, Alx4, Mafb, Irx4, Lmx1a, FOXO3, TEAD1, Hoxc9, Irx2, Irx2, Pitx1, TFAP2A, Tcfap2e, REST, Sox5, Irx5, Irx5, Rfx3, Lhx9, Sox8, GLI, GLI, Lhx5, Lhx5, Klf7, Pax6.1, Lmx1a, Prrx1, Pou2f1, Pou2f1, Six1_optimised, Lmx1a, Lmx1b, TFAP2A, TFAP2A, Mrg1, PR, RFX, Pou2f1, Pou2f1, Tcfap2c, Tcfap2c, DMRT3, Mafb, Tcfap2e, Hmx3, Hmbox1, RXRA, Irx4, Hoxc9, Lhx5, Lmx1b, FOXO3, Ikaros, Hmx3, Foxk1, Foxk1, Lhx5, Lhx9, Tcfap2e, Alx4, Hmx1, Mafb, Tcf1, Foxk1, Sox13, Pax6.2, Otx2, Otx2, Prrx1, Pou2f1, Pou2f1, CREB.2, HIF1, HIF1, Pax6.2, Pax6.2, PLZF, Pax7, Hoxa2, Hoxa2, Sox6, Sox30"
7777a,12,16676263,16677711,1449,-,PDZRN3,ENSGALG00000007819,12:16592805-16714374,inside,38111,3.13013,6.18961,4.53686,1.12744,34.305,13.8106,6.77541,11.9733,7.2066,6.49129,1.844517808,"NR3C1, Irx2, FOXP1, Irx2, Hmx3, Irx5, Hmbox1, Hmx1, Irx5, Pax7, Hoxc9, Irx4, Ar, Lmx1b, Irx4, Tcf1, Sox3, AR, Sox13, Osf2, RBP-Jkappa, Six1_optimised, CIZ, Lmx1b, Tcfcp2l1, Tcfap2e, Otx2, Otx2, Tcfcp2l1, Tcfap2e, PLAG1, Lmx1a, Pitx2, Ar, Lhx5, Mtf1, HIF1, HIF1, Tcfcp2l1, Pitx2, Sox13, Sox8, Pitx1, FOXO3, RUNX1, PR, Otx2, Otx2, Elk4, Ar, Six1_optimised, SALL1, Lhx5, Otx2, Otx2, Mafb, Lmx1b, Lhx4, Sox5, Pax7"
24719,5,53987885,53988302,418,-,ENSGALG00000011889,ENSGALG00000011889,5:53951086-54056201,inside,68316,0.83358,3.11286,2.48301,6.05923,2.50532,3.36156,2.11374,2.25352,0.975809,1.22214,1.843913136,"Tax_CREB.1, Tax_CREB.2, Pax2, EBF, EBF1, Ikaros, Six1_optimised, Sox3, Arnt, Znf143"
24720a,5,54002689,54003681,993,-,ENSGALG00000011889,ENSGALG00000011889,5:53951086-54056201,inside,53512,0.83358,3.11286,2.48301,6.05923,2.50532,3.36156,2.11374,2.25352,0.975809,1.22214,1.843913136,"Lmx1b, Lmx1a, TEAD1, Lhx5, Tcfap2e, Tcfap2c, Tcfap2c, Tcfap2c, Tcfap2c, Lmx1a, Sox2, Six4, Lmx1b, Tcfap2e, RXRA, FOXP1, Pou2f1, Pou2f1, SALL1, Alx4, PLAG1, Lhx5, Sox3, Pax7, Gata3.2, Mafb, Dmbx1, Dmbx1, Gata5, Pou2f1, Pou2f1, Gata3.2, Gata3.2, Alx4, Pitx1, Pax7, Hoxa2, Ehf, RBP-Jkappa, Lhx9, Pitx2, Dmbx1, Dmbx1, Elk4, RUNX1, Etv6, Six1_optimised, Nr2f2, Nr2f2, Pitx1, ESR2, Tax_CREB.1, Tax_CREB.2"
12723,2,89403214,89404439,1226,-,NR4A3,ENSGALG00000013568,2:89372988-89395602,upstream,-7612,0.276229,0.190136,0.380728,0.174292,0.133297,0.127992,0.52767,0.809729,1.82506,0.439201,1.843641066,"Etv1, Elk4, Etv4, NFKB1, NFKB1, STAT1, Zic3, Zic3, Klf7, Erg, NFKB1, NFKB1, RREB1, Zic3, Etv5, Bach2, Rfx3, CREB_ATF, Klf7, Pax-2, TFAP2A, RREB1, Zic3, Etv6, Ehf, Klf7, TFAP2A, Pax2, Pax2, NFKB1, NFKB1, CREB.2, Zic3, TFAP2A, AhR, NFKB1, NFKB1, CREB_ATF, Bach2, RFX, Arnt, HIF1, HIF1, WT1, RXRA, Six1_optimised, Nr2f2, Nr2f2, CREB.2, TEAD1, Max, TFAP2A, TFAP2A, TFAP2A, TFAP2A, Gata5, AhR, HIF1, HIF1, AP1.1, TTF-1_Nkx2-1_, EBF1, EBF1, RREB1, Max, Max, Max, RREB1, Klf7, Mybl1, TFAP2A, TFAP2A, TFAP2A, TFAP2A, Zic3, Pax2, Tcfap2e, Zic3, Zic3, Mafb, Pax-2, STAT, TFAP2A, Ehf, AhR, ESR2, Etv1, Ets, CREB_ATF, CIZ, Mtf1, Tcfap2e, Zic3, Zic3, Tcfap2b, Tcfap2b, Pax2, PLAG1, Tcfap2e, Elk4, CREB.2, EBF, EBF, Arnt, Tcfap2e, Ar, PLAG1, Tcfap2e, Pax6.1, RoRalpha, Pax-2, Zic3, Tcfap2c, Tcfap2c, AhR"
8303,13,10385835,10386118,284,+,CLINT1,ENSGALG00000003702,13:10554867-10603091,upstream,-169033,37.8256,44.0422,47.084,73.57,57.9823,71.523,59.4319,56.6041,60.6249,30.7771,1.839162884,"EBF, Sox2, Sox2, EBF1, Sox6, Six1_optimised, Sox2, STAT, Zic3, NFKB1, NFKB1"
30181a,Z,20198782,20199680,899,+,CWC27,ENSGALG00000014747,Z:20070885-20186949,downstream,127896,12.8526,15.7188,17.7469,13.9109,18.2073,19.8527,21.7608,20.2157,16.8087,11.1661,1.810453068,"Hmx1, Hmx3, Bbx, Gata5, Lhx5, NR3C1, CIZ, Foxk1, Lmx1b, Irx2, NR3C1, Gata3.2, Hoxc9, Gata3.2, Foxk1, Lmx1a, Bbx, Irx5, PR, Pax6.1, Hoxc9, Lhx5, Gbx1, PPARG, PPARG, Sox8, Gata3.2, Irx4, Hmx3, Gbx2, Pitx2, Irf6, Irf6, Irx4, Hoxa2, Tax_CREB.1, Tax_CREB.2, Prrx1, STAT1, Irx2, Lmx1b, Alx4, Hmx1, AP1.1, FOXO3, Pbx, Irf6, Irf6, Hdx, Six1"
30185a,Z,20221597,20223493,1897,+,CWC27,ENSGALG00000014747,Z:20070885-20186949,downstream,150711,12.8526,15.7188,17.7469,13.9109,18.2073,19.8527,21.7608,20.2157,16.8087,11.1661,1.810453068,"Sox30, SALL1, GLI, GLI, Sox8, Tcfcp2l1, Hoxc9, Irx4, Foxk1, Irx5, Esrrb, Tcf7l2, Irx4, AR, Sox5, Irx5, Hlxb9, Irx5, Irx2, Irx4, Lmx1b, Lhx4, Irx5, Pbx, Irx4, Hoxa1, Lmx1a, Lmx1a, Irx2, Osf2, Irx4, Irx2, CREB.2, Lmx1b, Lmx1a, Hlxb9, Sox3, Irx2, Mybl1, Sox13, Irf6, Irf6, Dmbx1, Dmbx1, Hmx1, Six1_optimised, Max, Lmx1b, Irx4, Lmx1b, Irx5, CHX10_vsx2_, Pou2f1, Pou2f1, Irx2, Irx5, Irx2, FOXO3, Sox13, Lhx5, Gata3.2, Hoxc9, Max, Lmx1b, GLI, GLI, Hoxa1, Hoxa1, Six1, Irx2, Irx5, Dlx5, Sox13, Hoxa2, Arnt, Irx5, Six1_optimised, Tcfcp2l1, Hoxa2, Arnt, Sox5, EBF, Lhx5, Irx2, Irx4, Mafb, Sox5, Irx2, Irx5, Lmx1a, Sox5, Sox13, HIF1, HIF1, EBF, CHX10_vsx2_, Sox2, Rfx3, Irx2, Sox8, RXRA, Sox6, Lmx1a, Lhx5, Irx2, Emx2, Bbx, Irx4, Pou2f1, Pou2f1, Emx2, Gbx2, AP1.2, Hoxa1, AP1.1, Sox8, Sox30, Sox2"
7556a,12,8972994,8973688,695,+,NCKIPSD,ENSGALG00000005713,12:8976729-9011876,upstream,-3736,11.9406,10.9307,11.2088,6.49878,9.26609,9.59419,15.5221,25.9662,27.1069,14.3524,1.809188707,"Hoxa2, Pax2, RREB1, Hoxa1, RREB1, Sox30, Pax-2, EBF, Six1, Ets, Sox5, Foxk1, RREB1, Emx2, CREB_ATF, Mtf1, Hoxa2, AP1.2, NR3C1, Sox6, Emx2, RREB1, Pax6.1, Ikaros, CHX10_vsx2_, Sox2"
17390,3,51577604,51577924,321,-,ZC2HC1B,ENSGALG00000013756,3:51568838-51580909,inside,3305,1.3034,1.2431,1.38231,0.990322,1.61195,1.78035,2.93557,3.43471,4.12819,1.90682,1.801276471,"Foxk1, FOXO3, Gata3.2, Six1_optimised, Pou2f1, Pou2f1, Tcf7l2, REST, Hbp1"
6022,10,7333996,7334672,677,+,PRTG,ENSGALG00000004361,10:7329783-7416677,inside,4212,33.1593,38.5213,56.0395,85.8165,107.566,125.335,185.809,183.712,197.107,102.393,1.794185149,"Sox8, Sox30, Sox5, Ar, Sox13, Irf6, Irf6, Pax6.2, Foxk1, HIF1, HIF1, Six1, Irf6, Irf6, Sox3, Pou2f1, Pou2f1, EBF, Mtf1"
6023a,10,7351358,7351895,538,+,PRTG,ENSGALG00000004361,10:7329783-7416677,inside,21574,33.1593,38.5213,56.0395,85.8165,107.566,125.335,185.809,183.712,197.107,102.393,1.794185149,"Hbp1, TEAD1, Six1_optimised, Six4, Gata5, Foxk1, Six4, Tax_CREB.1, Tax_CREB.2, ESR2, RBP-Jkappa"
24621,5,50211438,50212315,878,-,CKB,ENSGALG00000011511,5:50128408-50229625,inside,18187,33.9492,18.7594,21.6588,29.2924,23.0593,27.8013,57.1588,100.206,90.3902,55.9515,1.790943943,"Tcfap2b, Tcfap2b, Tcfap2b, Tcfap2b, HIF1, HIF1, Hdx, WT1, WT1, RREB1, WT1, Arnt, Hmx1, PLAG1, Six1_optimised, RFX, Nkx2-5, NR3C1, Arnt, Zic3, TFAP2A, Zic3, Max, RFX, Zic3, HIF1, HIF1, Dlx5, Hoxc9, TEAD1, PLAG1, Hdx, HIF1, HIF1, Sox3, Irf6, Irf6, Mybl1, Ehf, WT1, TTF-1_Nkx2-1_, Osf2, PLAG1, Zic3, Zic3, Zic3, Klf7, AP1.1, Max"
741,1,22985819,22986042,224,+,FAM3C,ENSGALG00000008975,1:22979820-23183320,inside,5998,14.6454,25.5332,23.1444,137.776,22.8288,33.9496,33.712,28.5404,28.2044,15.9825,1.78572814,"Six1_optimised, Six1, RUNX1, Tcfcp2l1, Six1_optimised, Osf2, STAT1, Six1_optimised, STAT1, Irf6, Irf6, Six4, AR"
29327a,9,17183543,17184223,681,-,KCNMB2,ENSGALG00000027617,9:17089499-17208056,inside,24513,0.0609188,0.0308837,0.0107152,0,0.0599477,0.0279029,0.0908809,0.294528,0.263013,0.165412,1.780572147,"Sox2, Foxk1, EBF, SALL1, EBF1, FOXO3, Esrrb, Six1_optimised, PLZF, Tcf7l2, Sox3, Six1, Sox3, TEAD1, REST"
10128,2,5179017,5179819,803,+,CSRNP1,ENSGALG00000027905,2:5229743-5238803,upstream,-50727,7.80371,7.36066,12.177,21.1612,6.25815,8.3441,8.80671,11.8667,14.8841,6.76963,1.752931844,"Lhx9, Alx4, Prrx1, Tcf1, RREB1, SALL1, Pax6.2, FOXP1, Lmx1a, Six1_optimised, RUNX1, Lmx1b, Lhx5, Pou2f1, Pou2f1, Pax7, Osf2, Bbx, Prrx1, Alx4, Bbx, Hoxc9, Lhx5, Gbx2, Dmbx1, Dmbx1, Lmx1b, Pitx2, Gata3.2, Gbx2, Mtf1, Lmx1b, Lmx1a, CHX10_vsx2_, Emx2, Hlxb9, Pax7, NR3C1, Hlxb9, Dmbx1, Dmbx1, Irx4, Sox3, Tcfcp2l1, Emx2, Pax-2, Lmx1b, DMRT3, Lhx5"
10127,2,5172673,5173463,791,+,CSRNP1,ENSGALG00000027905,2:5229743-5238803,upstream,-57071,7.80371,7.36066,12.177,21.1612,6.25815,8.3441,8.80671,11.8667,14.8841,6.76963,1.752931844,"Sox2, Pitx1, Pitx2, Otx2, Otx2, Lhx5, Hmx3, Lmx1b, Dmbx1, Dmbx1, Hoxc9, Lmx1a, Sox3, Lmx1a, Zic3, Lmx1a, Lmx1b, Lhx5, Six1, Lhx9, Prrx1, Hmbox1, Zic3, Sox6, EBF1, Hmx1, SALL1, Pax6.2, Sox3, Lmx1b, Pax6.2, Prrx1"
12106,2,66261899,66262209,311,+,SLC22A23,ENSGALG00000012816,2:66252175-66348254,inside,9723,7.06171,8.23206,10.1907,15.3341,10.7892,16.6718,11.8407,10.5619,10.3364,6.09058,1.734136979,"Six1_optimised, RXRA, RREB1, Osf2, RREB1, Six4, CIZ, CIZ, Pitx1, PR"
7737,12,15474778,15475005,228,+,MITF,ENSGALG00000007679,12:15468611-15557117,inside,6166,3.48186,2.60311,3.90716,4.45361,4.71338,9.76219,4.71291,5.06407,5.30962,2.95458,1.713972883,"Tcfcp2l1, Six1_optimised, Lmx1a, RREB1, Hoxc9"
8119a,13,5668294,5669200,907,-,MAT2B,ENSGALG00000001750,13:6045906-6061172,downstream,392878,7.41558,11.1486,9.05935,12.766,11.4495,13.7998,17.4833,16.9816,15.7776,9.9376,1.708823056,"Gata3.2, Tcfap2b, Tcfap2b, EBF, RREB1, Osf2, CIZ, Tcfap2b, Tcfap2b, Pbx, Bbx, Sox3, Six1, Bbx, Sox6, GATA3.1, Sox30, FOXO3, FOXO3, PLAG1, Bbx, Sox5"
12696,2,88659085,88659822,738,+,ENSGALG00000013212,ENSGALG00000013212,2:88645529-88745491,inside,13555,40.7692,42.0416,44.3391,22.6122,47.7139,43.1823,57.8918,67.8417,75.5157,39.7498,1.706718021,"RXRA, Pbx, Sox3, RREB1, AhR, RREB1, Six1_optimised, Tcf7l2, RREB1, Pbx, Mrg1, REST, RBP-Jkappa, GLI, GLI, HIF1, HIF1, Six4, Pbx, Ar, Gata3.2, RREB1, RREB1"
5020a,1,170735843,170736538,696,-,FREM2,ENSGALG00000017041,1:170636417-170751330,inside,15487,3.25396,7.17797,6.1751,8.67055,13.283,10.9614,2.73196,2.5514,5.65723,1.49862,1.702499633,"EBF1, FOXP1, Six1_optimised, Sox13, AR, Hmbox1, Pou2f1, Pou2f1, Tcf1, EBF, PLZF, Sox5, Hoxc9, Lmx1b, Sox8, Pou2f1, Pou2f1, Erg, Tcfap2b, Tcfap2b, Lhx5, Lhx9, Foxk1"
8787a,14,8937340,8939183,1844,+,SOCS1,ENSGALG00000007158,14:8935373-8936082,downstream,1966,3.55963,1.67552,2.12356,3.22495,1.56472,2.84284,2.00236,5.12375,6.08379,3.01375,1.70012443,"Tax_CREB.1, Tax_CREB.2, Ar, SALL1, Six4, Six1, REST, Six1_optimised, GLI, GLI, Tcfcp2l1, Pou2f1, Pou2f1, Sox8, SALL1, Hdx, Foxk1, STAT, Hdx, Pou2f1, Pou2f1, Tax_CREB.1, Tax_CREB.2, Gata3.2, RoRalpha, Foxk1, Foxk1, RBP-Jkappa, Lhx5, Esrrb, DMRT3, AR, Ar, Mafb, Hoxc9, Tcf7l2, Lmx1b, Lhx4, TEAD1, SALL1, Pax6.2, Tcf7l2, STAT1, Lhx5, Ets, Hoxa2, Tcf1, REST, Hoxa2, Pitx1, Pax6.2, Hoxa1"
10590a,2,17927087,17928191,1105,+,SKIDA1,ENSGALG00000017395,2:17930604-17933285,upstream,-3518,6.74749,7.60429,10.0278,2.91599,16.1405,16.9116,19.7153,22.5562,24.5077,13.2777,1.698803257,"Sox13, Sox5, Sox8, SALL1, FOXP1, SALL1, SALL1, FOXP1, Tcfap2c, Tcfap2c, SALL1, RREB1, TFAP2A, Zic3, Sox8, Tcfap2c, Tcfap2c, PPARG, PPARG, TFAP2A, TFAP2A, Six1_optimised, FOXP1, Sox5, RREB1, Dlx5, Hmx1, Sox30, Sox30, FOXP1, FOXP1, FOXP1, Tcfap2b, Tcfap2b, RREB1, HIF1, HIF1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, Sox3, Tcfap2c, Tcfap2c, Zic3, Zic3, Sox5, Sox13, Hmx3, AhR, Sox13, Foxk1, Tcfap2b, Tcfap2b, Sox13, Zic3, Zic3, CREB.2, AhR, Sox8, NFKB1, NFKB1, Tcfap2e, Sox5, Tcfap2c, Tcfap2c, Tcfap2e, Etv5, RREB1, Hoxa1, Tcfcp2l1, AhR, Zic3, Etv4, Pbx, Tcfap2c, Tcfap2c, Sox8, Sox5, Zic3, Sox30, TFAP2A, TFAP2A, RREB1, RREB1, Tcfap2e, Tcfap2e, Zic3, HIF1, HIF1, CREB_ATF, Sox8, RREB1, Dlx5, EBF1, Hoxa2, Zic3, TFAP2A, TFAP2A, RREB1, Etv4, RREB1, GATA3.1, Six4, Lhx9, Six1_optimised, Zic3, Sox13, Elk4, NFKB1, NFKB1, Tcfcp2l1, Sox30, Arnt, Hlxb9, HIF1, HIF1, Sox30"
20698,4,38857124,38857949,826,+,ACSL1,ENSGALG00000010628,4:38883036-38919985,upstream,-25913,19.6623,55.0303,50.3146,79.7937,69.8607,52.4413,38.2241,40.0984,36.0509,23.8446,1.681655385,"Gbx1, Lhx4, Znf143, Gbx2, Emx2, Tcfap2b, Tcfap2b, WT1, Nr2f2, Nr2f2, Gbx1, Six4, Emx2, Tcf1, Znf143, CHX10_vsx2_, Lhx4, Tcfap2e, Gbx2, Dlx5, Ikaros, Mrg1, Gata3.2, Hoxa1, Tcfap2c, Tcfap2c, Sox3, RoRalpha, Dlx5, Hlxb9, STAT1, Tcfap2c, Tcfap2c, CIZ, Six1, RREB1, PLAG1, Prrx1, RBP-Jkappa, Hlxb9, Ikaros"
20817,4,42616695,42617044,350,+,GALNT7,ENSGALG00000010744,4:42697172-42736160,upstream,-80478,10.9571,23.8708,19.9389,38.7831,22.1876,30.1689,23.5088,25.2309,34.7032,15.0232,1.679462431,"Six1, Foxk1, Foxk1, Mafb, Six1_optimised, Osf2, Hdx, Sox6, Hmbox1"
20818,4,42624637,42625233,597,+,GALNT7,ENSGALG00000010744,4:42697172-42736160,upstream,-72536,10.9571,23.8708,19.9389,38.7831,22.1876,30.1689,23.5088,25.2309,34.7032,15.0232,1.679462431,"Sox3, TEAD1, PLZF, Mybl1, NR3C1, HIF1, HIF1, RBP-Jkappa, Gata5, Foxk1, Six1_optimised, SALL1, Hdx, Gata3.2, HIF1, HIF1"
29955a,Z,13487391,13488985,1595,+,ZNF131,ENSGALG00000014859,Z:13472983-13485439,downstream,14407,9.50084,9.88501,10.7929,12.0088,12.2648,13.6582,9.70787,8.66073,7.95914,5.15695,1.679428732,"RREB1, Pax2, WT1, RREB1, SALL1, CREB.2, Tax_CREB.1, Tax_CREB.2, Zic3, WT1, WT1, Six1_optimised, Ar, Pax-2, Zic3, RFX, Tcfap2b, Tcfap2b, TFAP2A, TFAP2A, TFAP2A, TFAP2A, HIF1, HIF1, WT1, Klf7, TFAP2A, TFAP2A, TFAP2A, RREB1, RREB1, Foxk1, PLZF, Sox3, Klf7, Zic3, HIF1, HIF1, WT1, Irx4, PLAG1, REST, Foxk1, RREB1, RREB1, Klf7, STAT, Ets, CREB_ATF, Etv1, Tcf7l2, Irx5, PLAG1, AhR, NFKB1, NFKB1, Tcfap2b, Tcfap2b, Arnt"
20103,4,21516912,21517583,672,+,RAPGEF2,ENSGALG00000020249,4:21509901-21683609,inside,7010,6.40819,9.84338,10.4979,17.4954,17.1313,20.3428,10.7095,8.04642,8.60743,4.81494,1.671136089,"Sox30, Sox2, Six1_optimised, Etv6, Sox3, Ehf, Pitx1, Znf143, Hbp1, AP1.2, Six1, Sox5, PPARG, PPARG, Sox8, Rfx3, RREB1, AP1.1, Erg, Foxk1, Sox13, Arnt, Elk4, FOXO3, FOXO3, Pou2f1, Pou2f1"
419a,1,14321694,14322444,751,+,PRKAR2B,ENSGALG00000008060,1:14328389-14346800,upstream,-6696,10.3313,10.2433,10.0891,14.162,16.4721,18.8463,16.081,11.9872,12.6721,7.17348,1.671043901,"Tcfcp2l1, DMRT3, Rfx3, TEAD1, Six1_optimised, Irx5, AR, SALL1, Hdx, Irx2, Irx4, TEAD1, Dmbx1, Dmbx1, Tax_CREB.1, Tax_CREB.2, GLI, GLI, Pax6.2, Mybl1, PR"
19769,4,11690975,11691162,188,+,ARHGEF9,ENSGALG00000007608,4:11728002-11826335,upstream,-37028,1.64633,1.47786,1.3127,0.922845,0.336317,0.604967,1.70813,2.47645,3.31878,1.483,1.669892111,"Six1_optimised, Rfx3"
30789,Z,44453462,44453790,329,-,ROR2,ENSGALG00000015208,Z:44325333-44479158,inside,25696,5.766,6.58644,9.04592,6.58819,7.8417,12.7121,19.8035,18.6948,15.1943,11.2173,1.666604263,"PLAG1, ESR2, PLAG1, Hoxc9, Hmx3, Irx5, Hmbox1, Irx2, Irx2, Six1_optimised, Six1_optimised, Six4, Irx4, Irx5, CIZ, RXRA, RREB1, Sox8, Irx4"
3203a,1,102084924,102085632,709,-,APP,ENSGALG00000015770,1:101945901-102105676,inside,20752,207.561,214.856,213.637,267.536,307.201,345.315,317.503,296.015,263.989,178.439,1.658914251,"FOXP1, FOXP1, GLI, GLI, SALL1, Dmbx1, Dmbx1, PLAG1, Six1_optimised, Esrrb, PLAG1, Pitx2, Max, Foxk1, Sox3, Gata5, Nr2f2, Nr2f2"
25816,6,25217983,25218429,447,-,XPNPEP1,ENSGALG00000008523,6:25219898-25248494,downstream,30511,37.3897,37.5207,37.555,31.5521,38.9299,41.7536,58.209,66.8983,64.6269,40.3895,1.656328996,"Tax_CREB.1, Tax_CREB.2, Hdx, Six1, Tcf7l2, Nkx2-5, Mtf1, Tcf7l2"
4279a,1,137263990,137265263,1274,+,TUBGCP3,ENSGALG00000016836,1:137262148-137311453,inside,1841,23.7639,34.0001,30.9346,31.1283,42.4744,45.7497,41.1211,43.7798,42.301,26.865,1.629622185,"FOXP1, Six1, Tcfap2b, Tcfap2b, Irx5, Tcfap2c, Tcfap2c, Tax_CREB.1, Tax_CREB.2, Irx2, TFAP2A, Tcfap2e, Tcfap2c, Tcfap2c, Lhx4, Tcfap2b, Tcfap2b, Gata5, Irx4, PR, STAT1, Irx5, Tcfap2c, Tcfap2c, Irx2, RBP-Jkappa"
9606,18,4051826,4052128,303,-,RAP2B,ENSGALG00000021552,18:4042901-4043528,upstream,-8298,1.24382,0.901408,0.200239,0.110583,0.0832986,0.202046,0.253134,1.04188,0.131622,0.639446,1.629347904,"Klf7, RXRA, TFAP2A, TFAP2A, PLAG1, Irf6, Irf6, TFAP2A, Mtf1, Tax_CREB.1, Tax_CREB.2, Esrrb, TFAP2A, Tcfap2e, Six1, TFAP2A, Tcfap2e, HIF1, HIF1, Klf7, Tcfap2b, Tcfap2b, Six4"
11977a,2,60479078,60480865,1788,+,NHLRC1,ENSGALG00000012688,2:60467065-60470062,downstream,12012,2.71861,2.22831,1.64744,4.54536,3.48258,3.78441,3.79537,4.4868,3.21459,2.75641,1.627769454,"Six1_optimised, RREB1, TFAP2A, Pax2, TFAP2A, Nkx2-5, Mtf1, CIZ, ESR2, Zic3, WT1, Tcfap2c, Tcfap2c, Klf7, Zic3, Zic3, Otx2, Otx2, Pbx, Tcfap2e, Klf7, Tcfap2c, Tcfap2c, PLAG1, Pitx2, CIZ, RREB1, Tcfap2e, Hdx, Klf7, TEAD1, RREB1, Zic3, WT1, WT1, PLAG1, Mtf1, Klf7, RREB1, HIF1, HIF1, Klf7, TFAP2A, TFAP2A, TFAP2A, Zic3, RREB1, Zic3, Zic3, RREB1, WT1, WT1, WT1, WT1, Six1, PLAG1, Zic3, Zic3, HIF1, HIF1, FOXO3, WT1, Arnt, Zic3, Tcfap2b, Tcfap2b, Pax2, Pax6.1, Mafb, WT1, WT1, EBF"
22854,5,7451229,7451867,639,+,ENSGALG00000026688,ENSGALG00000026688,5:7416526-7417633,downstream,34702,0.11547,0.118735,0.281289,0.365113,0.265233,0.0804189,0.383819,0.622708,0.559861,0.382885,1.626357784,"Pitx2, Ar, Tcfap2e, Otx2, Otx2, Dmbx1, Dmbx1, REST, Ar, EBF, Tcfap2c, Tcfap2c, Tcfap2e, Nkx2-5, PR, Max, REST, Tcfap2c, Tcfap2c, Six1, Pax6.1, GLI, GLI, Otx2, Otx2, Pitx2, Max, Max, Tcfap2b, Tcfap2b, CREB.2, Arnt, Sox30"
22850a,5,7400307,7401348,1042,+,ENSGALG00000026688,ENSGALG00000026688,5:7416526-7417633,upstream,-16220,0.11547,0.118735,0.281289,0.365113,0.265233,0.0804189,0.383819,0.622708,0.559861,0.382885,1.626357784,"FOXP1, SALL1, Lmx1b, Irf6, Irf6, Lmx1a, Etv1, Lhx5, Klf7, Foxk1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, RREB1, Ikaros, Etv4, Gata5, Etv5, RFX, Gata3.2, Pax6.2, RREB1, Lmx1b, RREB1, Six1, Erg, Klf7, Nr2f2, Nr2f2, Bbx, Pou2f1, Pou2f1, NR3C1, Otx2, Otx2, Lmx1b, Sox5, Alx4, FOXO3, Mtf1, Etv6, Elk4, EBF"
21550,4,62361888,62362790,903,+,FRG1,ENSGALG00000013590,4:62371125-62379523,upstream,-9238,26.8255,24.6455,23.6916,28.314,25.097,26.6065,30.5796,34.7201,27.2293,21.3577,1.625647893,"FOXP1, AhR, FOXP1, AP1.2, Hmx3, Arnt, RREB1, Six1_optimised, ESR2, RREB1, REST, PLZF, DMRT3, RoRalpha, Bach2, Tcfcp2l1, Irx4, Sox13, Foxk1, Hmx1, Etv6, Sox3, Foxk1"
26700a,7,15336269,15337277,1009,-,HNRNPA3,ENSGALG00000009250,7:15327804-15341998,inside,5729,536.287,543.73,532.356,495.203,558.887,581.152,700.464,732.092,760.969,453.457,1.614468406,"FOXP1, WT1, Six4, Pax2, PPARG, PPARG, Pbx, Tax_CREB.1, Tax_CREB.2, WT1, CIZ, WT1, STAT1, AhR, Rfx3, Irx2, Ikaros, RFX, Six1, Six1, Irx4, RREB1, Irx2"
23504a,5,24226938,24227968,1031,+,TYRO3,ENSGALG00000008631,5:24215768-24250023,inside,11169,23.3964,30.7922,30.1696,24.0531,39.4963,37.4952,34.5178,32.3965,31.2969,20.083,1.613130508,"REST, TEAD1, Sox6, GLI, GLI, HIF1, HIF1, Gata3.2, Ikaros, Pax6.1, HIF1, HIF1, Ar, Bbx, Six1, Sox13, Mrg1, Six4, Max, Pax2, Six1_optimised, RXRA, Pou2f1, Pou2f1, Tcf1, Pax6.2, Sox2, Arnt, Hmbox1, Tcf1, Six1"
18042a,3,69926284,69928410,2127,-,GRIK2,ENSGALG00000015434,3:69567293-69936572,inside,10288,0.0831646,0.281459,0.287386,0.199501,2.65563,0.606422,0.620473,0.662322,0.679079,0.411685,1.608807705,"Tcfcp2l1, RBP-Jkappa, Gata5, TEAD1, REST, Nkx2-5, PR, Sox3, Tcf1, Zic3, Pax-2, Tcfap2c, Tcfap2c, Tcf7l2, RBP-Jkappa, AhR, CHX10_vsx2_, Ehf, Tcf1, WT1, WT1, WT1, Tcfap2b, Tcfap2b, Tcfap2e, Tcfcp2l1, Zic3, PR, Znf143, Prrx1, Gata5, NR3C1, Gata3.2, PLAG1, RREB1, Six1_optimised, Emx2, Mrg1, Gata5"
